facility_name,address,state_name,district_name,sub_district_name,pincode,facility_type,ownership,facility_id,latitude,longitude
Government Gujarat East Hospital 2,"Main Road, Gujarat East, Gujarat",Gujarat,Gujarat East,Block C,765411,Sub District Hospital,Government,GEN-00167,11.143051,88.714612
Government Gujarat East Hospital 3,"Main Road, Gujarat East, Gujarat",Gujarat,Gujarat East,Block A,746475,Community Health Centre,Government,GEN-00168,27.441583,72.900063
Government Gujarat East Hospital 4,"Main Road, Gujarat East, Gujarat",Gujarat,Gujarat East,Block A,675165,Primary Health Centre,Government,GEN-00169,8.813757,90.704419
Government Gujarat East Hospital 5,"Main Road, Gujarat East, Gujarat",Gujarat,Gujarat East,Block C,620783,Medical College Hospital,Government,GEN-00170,9.124424,96.980411
Government Gujarat West Hospital 1,"Main Road, Gujarat West, Gujarat",Gujarat,Gujarat West,Block B,389613,District Hospital,Government,GEN-00171,26.073156,84.737667
Government Gujarat West Hospital 2,"Main Road, Gujarat West, Gujarat",Gujarat,Gujarat West,Block A,233842,Sub District Hospital,Government,GEN-00172,17.884215,76.522458
Government Gujarat West Hospital 3,"Main Road, Gujarat West, Gujarat",Gujarat,Gujarat West,Block B,539429,Community Health Centre,Government,GEN-00173,28.766149,86.820996
Government Gujarat West Hospital 4,"Main Road, Gujarat West, Gujarat",Gujarat,Gujarat West,Block B,333432,Primary Health Centre,Government,GEN-00174,28.947946,68.291356
Government Gujarat West Hospital 5,"Main Road, Gujarat West, Gujarat",Gujarat,Gujarat West,Block B,500979,Medical College Hospital,Government,GEN-00175,25.798162,87.853962
Government Haryana Central Hospital 1,"Main Road, Haryana Central, Haryana",Haryana,Haryana Central,Block A,667787,District Hospital,Government,GEN-00176,12.596534,89.710149
Government Haryana Central Hospital 2,"Main Road, Haryana Central, Haryana",Haryana,Haryana Central,Block A,314801,Sub District Hospital,Government,GEN-00177,13.07832,80.601348
Government Haryana Central Hospital 3,"Main Road, Haryana Central, Haryana",Haryana,Haryana Central,Block C,124953,Community Health Centre,Government,GEN-00178,34.933682,89.791527
Government Haryana Central Hospital 4,"Main Road, Haryana Central, Haryana",Haryana,Haryana Central,Block A,698884,Primary Health Centre,Government,GEN-00179,20.785143,74.175821
Government Haryana Central Hospital 5,"Main Road, Haryana Central, Haryana",Haryana,Haryana Central,Block C,542136,Medical College Hospital,Government,GEN-00180,21.9714,94.824776
Government Haryana North Hospital 1,"Main Road, Haryana North, Haryana",Haryana,Haryana North,Block B,431433,District Hospital,Government,GEN-00181,22.53453,74.978749
Government Haryana North Hospital 2,"Main Road, Haryana North, Haryana",Haryana,Haryana North,Block C,516842,Sub District Hospital,Government,GEN-00182,28.593359,86.740178
Government Haryana North Hospital 3,"Main Road, Haryana North, Haryana",Haryana,Haryana North,Block C,541555,Community Health Centre,Government,GEN-00183,19.417005,71.696335
Government Haryana North Hospital 4,"Main Road, Haryana North, Haryana",Haryana,Haryana North,Block B,265487,Primary Health Centre,Government,GEN-00184,9.128953,86.402822
Government Haryana North Hospital 5,"Main Road, Haryana North, Haryana",Haryana,Haryana North,Block A,290087,Medical College Hospital,Government,GEN-00185,25.259464,90.448264
Government Haryana South Hospital 1,"Main Road, Haryana South, Haryana",Haryana,Haryana South,Block B,776929,District Hospital,Government,GEN-00186,14.991841,91.581338
Government Haryana South Hospital 2,"Main Road, Haryana South, Haryana",Haryana,Haryana South,Block C,201638,Sub District Hospital,Government,GEN-00187,21.612182,92.999789
Government Haryana South Hospital 3,"Main Road, Haryana South, Haryana",Haryana,Haryana South,Block B,367108,Community Health Centre,Government,GEN-00188,33.322868,78.731584
Government Haryana South Hospital 4,"Main Road, Haryana South, Haryana",Haryana,Haryana South,Block C,561430,Primary Health Centre,Government,GEN-00189,8.658369,71.038211
Government Haryana South Hospital 5,"Main Road, Haryana South, Haryana",Haryana,Haryana South,Block A,329827,Medical College Hospital,Government,GEN-00190,33.4191,81.106695
Government Haryana East Hospital 1,"Main Road, Haryana East, Haryana",Haryana,Haryana East,Block B,715022,District Hospital,Government,GEN-00191,34.48447,85.422779
Government Haryana East Hospital 2,"Main Road, Haryana East, Haryana",Haryana,Haryana East,Block C,757347,Sub District Hospital,Government,GEN-00192,17.325706,71.641575
Government Haryana East Hospital 3,"Main Road, Haryana East, Haryana",Haryana,Haryana East,Block C,584028,Community Health Centre,Government,GEN-00193,8.080931,73.054248
Government Haryana East Hospital 4,"Main Road, Haryana East, Haryana",Haryana,Haryana East,Block C,148803,Primary Health Centre,Government,GEN-00194,16.994502,87.323926
Government Haryana East Hospital 5,"Main Road, Haryana East, Haryana",Haryana,Haryana East,Block A,394636,Medical College Hospital,Government,GEN-00195,11.430224,68.579768
Government Haryana West Hospital 1,"Main Road, Haryana West, Haryana",Haryana,Haryana West,Block B,503565,District Hospital,Government,GEN-00196,9.067138,81.532967
Government Haryana West Hospital 2,"Main Road, Haryana West, Haryana",Haryana,Haryana West,Block C,731127,Sub District Hospital,Government,GEN-00197,9.384028,90.522038
Government Haryana West Hospital 3,"Main Road, Haryana West, Haryana",Haryana,Haryana West,Block A,403272,Community Health Centre,Government,GEN-00198,9.951499,93.199169
Government Haryana West Hospital 4,"Main Road, Haryana West, Haryana",Haryana,Haryana West,Block C,429609,Primary Health Centre,Government,GEN-00199,16.888972,79.503643
Government Haryana West Hospital 5,"Main Road, Haryana West, Haryana",Haryana,Haryana West,Block B,448392,Medical College Hospital,Government,GEN-00200,27.808774,75.02324
Government Himachal Central Hospital 1,"Main Road, Himachal Central, Himachal Pradesh",Himachal Pradesh,Himachal Central,Block A,682810,District Hospital,Government,GEN-00201,20.887968,77.70404
Government Himachal Central Hospital 2,"Main Road, Himachal Central, Himachal Pradesh",Himachal Pradesh,Himachal Central,Block C,665125,Sub District Hospital,Government,GEN-00202,31.348371,86.56958
Government Himachal Central Hospital 3,"Main Road, Himachal Central, Himachal Pradesh",Himachal Pradesh,Himachal Central,Block B,838396,Community Health Centre,Government,GEN-00203,21.468947,96.963812
Government Himachal Central Hospital 4,"Main Road, Himachal Central, Himachal Pradesh",Himachal Pradesh,Himachal Central,Block C,595155,Primary Health Centre,Government,GEN-00204,20.085896,78.341849
Government Himachal Central Hospital 5,"Main Road, Himachal Central, Himachal Pradesh",Himachal Pradesh,Himachal Central,Block C,172321,Medical College Hospital,Government,GEN-00205,20.988883,71.59628
Government Himachal North Hospital 1,"Main Road, Himachal North, Himachal Pradesh",Himachal Pradesh,Himachal North,Block A,451860,District Hospital,Government,GEN-00206,19.893933,88.321931
Government Himachal North Hospital 2,"Main Road, Himachal North, Himachal Pradesh",Himachal Pradesh,Himachal North,Block C,653228,Sub District Hospital,Government,GEN-00207,34.700986,92.651439
Government Himachal North Hospital 3,"Main Road, Himachal North, Himachal Pradesh",Himachal Pradesh,Himachal North,Block B,701858,Community Health Centre,Government,GEN-00208,35.279046,79.074412
Government Himachal North Hospital 4,"Main Road, Himachal North, Himachal Pradesh",Himachal Pradesh,Himachal North,Block B,826547,Primary Health Centre,Government,GEN-00209,8.241181,85.302756
Government Himachal North Hospital 5,"Main Road, Himachal North, Himachal Pradesh",Himachal Pradesh,Himachal North,Block A,725745,Medical College Hospital,Government,GEN-00210,26.971917,95.520121
Government Himachal South Hospital 1,"Main Road, Himachal South, Himachal Pradesh",Himachal Pradesh,Himachal South,Block B,778484,District Hospital,Government,GEN-00211,17.948204,83.887759
Government Himachal South Hospital 2,"Main Road, Himachal South, Himachal Pradesh",Himachal Pradesh,Himachal South,Block C,724530,Sub District Hospital,Government,GEN-00212,16.726499,83.855382
Government Himachal South Hospital 3,"Main Road, Himachal South, Himachal Pradesh",Himachal Pradesh,Himachal South,Block A,838578,Community Health Centre,Government,GEN-00213,11.365703,77.279285
Government Himachal South Hospital 4,"Main Road, Himachal South, Himachal Pradesh",Himachal Pradesh,Himachal South,Block C,344022,Primary Health Centre,Government,GEN-00214,28.904249,86.346049
Government Himachal South Hospital 5,"Main Road, Himachal South, Himachal Pradesh",Himachal Pradesh,Himachal South,Block A,316938,Medical College Hospital,Government,GEN-00215,28.792731,68.131122
Government Himachal East Hospital 1,"Main Road, Himachal East, Himachal Pradesh",Himachal Pradesh,Himachal East,Block C,754161,District Hospital,Government,GEN-00216,31.329609,86.900892
Government Himachal East Hospital 2,"Main Road, Himachal East, Himachal Pradesh",Himachal Pradesh,Himachal East,Block B,294896,Sub District Hospital,Government,GEN-00217,15.964953,94.734639
Government Himachal East Hospital 3,"Main Road, Himachal East, Himachal Pradesh",Himachal Pradesh,Himachal East,Block A,788699,Community Health Centre,Government,GEN-00218,31.165438,84.619819
Government Himachal East Hospital 4,"Main Road, Himachal East, Himachal Pradesh",Himachal Pradesh,Himachal East,Block C,229032,Primary Health Centre,Government,GEN-00219,21.886642,72.729392
Government Himachal East Hospital 5,"Main Road, Himachal East, Himachal Pradesh",Himachal Pradesh,Himachal East,Block B,243407,Medical College Hospital,Government,GEN-00220,15.542066,86.259426
Government Himachal West Hospital 1,"Main Road, Himachal West, Himachal Pradesh",Himachal Pradesh,Himachal West,Block C,519026,District Hospital,Government,GEN-00221,26.283484,80.235494
Government Himachal West Hospital 2,"Main Road, Himachal West, Himachal Pradesh",Himachal Pradesh,Himachal West,Block A,810749,Sub District Hospital,Government,GEN-00222,35.163171,88.792693
Government Himachal West Hospital 3,"Main Road, Himachal West, Himachal Pradesh",Himachal Pradesh,Himachal West,Block C,313251,Community Health Centre,Government,GEN-00223,17.421764,71.287
Government Himachal West Hospital 4,"Main Road, Himachal West, Himachal Pradesh",Himachal Pradesh,Himachal West,Block A,198345,Primary Health Centre,Government,GEN-00224,15.881664,79.55071
Government Himachal West Hospital 5,"Main Road, Himachal West, Himachal Pradesh",Himachal Pradesh,Himachal West,Block A,758795,Medical College Hospital,Government,GEN-00225,26.691325,94.620935
Government Jharkhand Central Hospital 1,"Main Road, Jharkhand Central, Jharkhand",Jharkhand,Jharkhand Central,Block B,317372,District Hospital,Government,GEN-00226,9.434523,94.4794
Government Jharkhand Central Hospital 2,"Main Road, Jharkhand Central, Jharkhand",Jharkhand,Jharkhand Central,Block A,753193,Sub District Hospital,Government,GEN-00227,10.695817,84.213072
Government Jharkhand Central Hospital 3,"Main Road, Jharkhand Central, Jharkhand",Jharkhand,Jharkhand Central,Block A,362658,Community Health Centre,Government,GEN-00228,33.908328,86.328723
Government Jharkhand Central Hospital 4,"Main Road, Jharkhand Central, Jharkhand",Jharkhand,Jharkhand Central,Block B,702773,Primary Health Centre,Government,GEN-00229,23.683381,96.797032
Government Jharkhand Central Hospital 5,"Main Road, Jharkhand Central, Jharkhand",Jharkhand,Jharkhand Central,Block B,336730,Medical College Hospital,Government,GEN-00230,36.103106,93.362588
Government Jharkhand North Hospital 1,"Main Road, Jharkhand North, Jharkhand",Jharkhand,Jharkhand North,Block A,206270,District Hospital,Government,GEN-00231,25.293651,80.455889
Government Jharkhand North Hospital 2,"Main Road, Jharkhand North, Jharkhand",Jharkhand,Jharkhand North,Block B,596086,Sub District Hospital,Government,GEN-00232,8.58696,71.773018
Government Jharkhand North Hospital 3,"Main Road, Jharkhand North, Jharkhand",Jharkhand,Jharkhand North,Block A,767928,Community Health Centre,Government,GEN-00233,10.961588,85.782982
Government Jharkhand North Hospital 4,"Main Road, Jharkhand North, Jharkhand",Jharkhand,Jharkhand North,Block A,139771,Primary Health Centre,Government,GEN-00234,11.27587,76.777474
Government Jharkhand North Hospital 5,"Main Road, Jharkhand North, Jharkhand",Jharkhand,Jharkhand North,Block B,630856,Medical College Hospital,Government,GEN-00235,11.110253,90.762502
Government Jharkhand South Hospital 1,"Main Road, Jharkhand South, Jharkhand",Jharkhand,Jharkhand South,Block B,549324,District Hospital,Government,GEN-00236,15.0313,79.071808
Government Jharkhand South Hospital 2,"Main Road, Jharkhand South, Jharkhand",Jharkhand,Jharkhand South,Block A,666055,Sub District Hospital,Government,GEN-00237,13.995643,71.064592
Government Jharkhand South Hospital 3,"Main Road, Jharkhand South, Jharkhand",Jharkhand,Jharkhand South,Block C,512439,Community Health Centre,Government,GEN-00238,15.315596,95.643416
Government Jharkhand South Hospital 4,"Main Road, Jharkhand South, Jharkhand",Jharkhand,Jharkhand South,Block C,173532,Primary Health Centre,Government,GEN-00239,36.683897,95.030498
Government Jharkhand South Hospital 5,"Main Road, Jharkhand South, Jharkhand",Jharkhand,Jharkhand South,Block C,290459,Medical College Hospital,Government,GEN-00240,32.162973,88.075669
Government Jharkhand East Hospital 1,"Main Road, Jharkhand East, Jharkhand",Jharkhand,Jharkhand East,Block B,248194,District Hospital,Government,GEN-00241,9.879984,88.847369
Government Jharkhand East Hospital 2,"Main Road, Jharkhand East, Jharkhand",Jharkhand,Jharkhand East,Block B,439787,Sub District Hospital,Government,GEN-00242,32.862814,73.587698
Government Jharkhand East Hospital 3,"Main Road, Jharkhand East, Jharkhand",Jharkhand,Jharkhand East,Block C,271603,Community Health Centre,Government,GEN-00243,32.966115,79.942501
Government Jharkhand East Hospital 4,"Main Road, Jharkhand East, Jharkhand",Jharkhand,Jharkhand East,Block A,551626,Primary Health Centre,Government,GEN-00244,8.600723,72.304014
Government Jharkhand East Hospital 5,"Main Road, Jharkhand East, Jharkhand",Jharkhand,Jharkhand East,Block C,799384,Medical College Hospital,Government,GEN-00245,18.197231,83.961266
Government Jharkhand West Hospital 1,"Main Road, Jharkhand West, Jharkhand",Jharkhand,Jharkhand West,Block B,400049,District Hospital,Government,GEN-00246,10.368338,77.331142
Government Jharkhand West Hospital 2,"Main Road, Jharkhand West, Jharkhand",Jharkhand,Jharkhand West,Block A,503521,Sub District Hospital,Government,GEN-00247,15.227629,96.878348
Government Jharkhand West Hospital 3,"Main Road, Jharkhand West, Jharkhand",Jharkhand,Jharkhand West,Block C,402718,Community Health Centre,Government,GEN-00248,25.787899,85.567256
Government Jharkhand West Hospital 4,"Main Road, Jharkhand West, Jharkhand",Jharkhand,Jharkhand West,Block A,179202,Primary Health Centre,Government,GEN-00249,29.438019,87.836883
Government Jharkhand West Hospital 5,"Main Road, Jharkhand West, Jharkhand",Jharkhand,Jharkhand West,Block A,762937,Medical College Hospital,Government,GEN-00250,28.354912,92.284686
Government Karnataka Central Hospital 1,"Main Road, Karnataka Central, Karnataka",Karnataka,Karnataka Central,Block B,821177,District Hospital,Government,GEN-00251,12.576141,72.404452
Government Karnataka Central Hospital 2,"Main Road, Karnataka Central, Karnataka",Karnataka,Karnataka Central,Block C,333085,Sub District Hospital,Government,GEN-00252,33.186541,68.274535
Government Karnataka Central Hospital 3,"Main Road, Karnataka Central, Karnataka",Karnataka,Karnataka Central,Block C,770702,Community Health Centre,Government,GEN-00253,21.810367,69.06916
Government Karnataka Central Hospital 4,"Main Road, Karnataka Central, Karnataka",Karnataka,Karnataka Central,Block C,692165,Primary Health Centre,Government,GEN-00254,35.961864,86.538372
Government Karnataka Central Hospital 5,"Main Road, Karnataka Central, Karnataka",Karnataka,Karnataka Central,Block C,214702,Medical College Hospital,Government,GEN-00255,30.155089,91.425448
Government Karnataka North Hospital 1,"Main Road, Karnataka North, Karnataka",Karnataka,Karnataka North,Block A,828684,District Hospital,Government,GEN-00256,18.068445,76.680785
Government Karnataka North Hospital 2,"Main Road, Karnataka North, Karnataka",Karnataka,Karnataka North,Block C,795550,Sub District Hospital,Government,GEN-00257,24.587672,85.132007
Government Karnataka North Hospital 3,"Main Road, Karnataka North, Karnataka",Karnataka,Karnataka North,Block A,696845,Community Health Centre,Government,GEN-00258,24.293263,80.197863
Government Karnataka North Hospital 4,"Main Road, Karnataka North, Karnataka",Karnataka,Karnataka North,Block A,771918,Primary Health Centre,Government,GEN-00259,9.963912,72.431701
Government Karnataka North Hospital 5,"Main Road, Karnataka North, Karnataka",Karnataka,Karnataka North,Block C,697971,Medical College Hospital,Government,GEN-00260,33.664429,83.045464
Government Karnataka South Hospital 1,"Main Road, Karnataka South, Karnataka",Karnataka,Karnataka South,Block A,230201,District Hospital,Government,GEN-00261,29.162164,94.602245
Government Karnataka South Hospital 2,"Main Road, Karnataka South, Karnataka",Karnataka,Karnataka South,Block A,347611,Sub District Hospital,Government,GEN-00262,9.777655,85.695766
Government Karnataka South Hospital 3,"Main Road, Karnataka South, Karnataka",Karnataka,Karnataka South,Block B,281053,Community Health Centre,Government,GEN-00263,36.045562,82.346378
Government Karnataka South Hospital 4,"Main Road, Karnataka South, Karnataka",Karnataka,Karnataka South,Block B,162014,Primary Health Centre,Government,GEN-00264,28.481155,87.736758
Government Karnataka South Hospital 5,"Main Road, Karnataka South, Karnataka",Karnataka,Karnataka South,Block A,161311,Medical College Hospital,Government,GEN-00265,13.603,72.748113
Government Karnataka East Hospital 1,"Main Road, Karnataka East, Karnataka",Karnataka,Karnataka East,Block A,157867,District Hospital,Government,GEN-00266,11.953669,78.334777
Government Karnataka East Hospital 2,"Main Road, Karnataka East, Karnataka",Karnataka,Karnataka East,Block C,244712,Sub District Hospital,Government,GEN-00267,33.574837,81.166779
Government Karnataka East Hospital 3,"Main Road, Karnataka East, Karnataka",Karnataka,Karnataka East,Block A,430932,Community Health Centre,Government,GEN-00268,10.770252,95.156063
Government Karnataka East Hospital 4,"Main Road, Karnataka East, Karnataka",Karnataka,Karnataka East,Block A,562533,Primary Health Centre,Government,GEN-00269,30.624414,90.242066
Government Karnataka East Hospital 5,"Main Road, Karnataka East, Karnataka",Karnataka,Karnataka East,Block A,852052,Medical College Hospital,Government,GEN-00270,8.63027,89.834369
Government Karnataka West Hospital 1,"Main Road, Karnataka West, Karnataka",Karnataka,Karnataka West,Block B,132671,District Hospital,Government,GEN-00271,11.319369,69.946921
Government Karnataka West Hospital 2,"Main Road, Karnataka West, Karnataka",Karnataka,Karnataka West,Block C,608784,Sub District Hospital,Government,GEN-00272,25.430513,86.534422
Government Karnataka West Hospital 3,"Main Road, Karnataka West, Karnataka",Karnataka,Karnataka West,Block B,735668,Community Health Centre,Government,GEN-00273,14.746286,68.848104
Government Karnataka West Hospital 4,"Main Road, Karnataka West, Karnataka",Karnataka,Karnataka West,Block A,719516,Primary Health Centre,Government,GEN-00274,37.149021,70.768085
Government Karnataka West Hospital 5,"Main Road, Karnataka West, Karnataka",Karnataka,Karnataka West,Block B,817106,Medical College Hospital,Government,GEN-00275,25.825197,68.14452
Government Kerala Central Hospital 1,"Main Road, Kerala Central, Kerala",Kerala,Kerala Central,Block C,144235,District Hospital,Government,GEN-00276,16.49572,70.868666
Government Kerala Central Hospital 2,"Main Road, Kerala Central, Kerala",Kerala,Kerala Central,Block C,787630,Sub District Hospital,Government,GEN-00277,34.16389,69.290536
Government Kerala Central Hospital 3,"Main Road, Kerala Central, Kerala",Kerala,Kerala Central,Block B,163711,Community Health Centre,Government,GEN-00278,30.838334,78.303516
Government Kerala Central Hospital 4,"Main Road, Kerala Central, Kerala",Kerala,Kerala Central,Block A,256208,Primary Health Centre,Government,GEN-00279,11.738059,84.441222
Government Kerala Central Hospital 5,"Main Road, Kerala Central, Kerala",Kerala,Kerala Central,Block B,464722,Medical College Hospital,Government,GEN-00280,24.438633,79.650963
Government Kerala North Hospital 1,"Main Road, Kerala North, Kerala",Kerala,Kerala North,Block A,767013,District Hospital,Government,GEN-00281,29.686846,95.240759
Government Kerala North Hospital 2,"Main Road, Kerala North, Kerala",Kerala,Kerala North,Block A,473623,Sub District Hospital,Government,GEN-00282,23.81558,71.121785
Government Kerala North Hospital 3,"Main Road, Kerala North, Kerala",Kerala,Kerala North,Block B,509117,Community Health Centre,Government,GEN-00283,37.441528,96.279867
Government Kerala North Hospital 4,"Main Road, Kerala North, Kerala",Kerala,Kerala North,Block A,363898,Primary Health Centre,Government,GEN-00284,17.491979,94.4476
Government Kerala North Hospital 5,"Main Road, Kerala North, Kerala",Kerala,Kerala North,Block A,229344,Medical College Hospital,Government,GEN-00285,13.80338,85.078295
Government Kerala South Hospital 1,"Main Road, Kerala South, Kerala",Kerala,Kerala South,Block A,334823,District Hospital,Government,GEN-00286,35.213393,73.699377
Government Kerala South Hospital 2,"Main Road, Kerala South, Kerala",Kerala,Kerala South,Block C,401522,Sub District Hospital,Government,GEN-00287,34.983392,70.255182
Government Kerala South Hospital 3,"Main Road, Kerala South, Kerala",Kerala,Kerala South,Block A,654980,Community Health Centre,Government,GEN-00288,31.928866,94.240787
Government Kerala South Hospital 4,"Main Road, Kerala South, Kerala",Kerala,Kerala South,Block A,163424,Primary Health Centre,Government,GEN-00289,29.714319,82.252727
Government Kerala South Hospital 5,"Main Road, Kerala South, Kerala",Kerala,Kerala South,Block A,230267,Medical College Hospital,Government,GEN-00290,24.297905,82.48368
Government Kerala East Hospital 1,"Main Road, Kerala East, Kerala",Kerala,Kerala East,Block C,163455,District Hospital,Government,GEN-00291,27.503406,76.598693
Government Kerala East Hospital 2,"Main Road, Kerala East, Kerala",Kerala,Kerala East,Block A,622600,Sub District Hospital,Government,GEN-00292,29.292026,78.361023
Government Kerala East Hospital 3,"Main Road, Kerala East, Kerala",Kerala,Kerala East,Block B,424120,Community Health Centre,Government,GEN-00293,11.459898,73.529763
Government Kerala East Hospital 4,"Main Road, Kerala East, Kerala",Kerala,Kerala East,Block B,837959,Primary Health Centre,Government,GEN-00294,18.117031,69.107887
Government Kerala East Hospital 5,"Main Road, Kerala East, Kerala",Kerala,Kerala East,Block A,484678,Medical College Hospital,Government,GEN-00295,12.984396,77.696511
Government Kerala West Hospital 1,"Main Road, Kerala West, Kerala",Kerala,Kerala West,Block B,508726,District Hospital,Government,GEN-00296,36.875052,82.644258
Government Kerala West Hospital 2,"Main Road, Kerala West, Kerala",Kerala,Kerala West,Block C,114709,Sub District Hospital,Government,GEN-00297,37.427368,81.366436
Government Kerala West Hospital 3,"Main Road, Kerala West, Kerala",Kerala,Kerala West,Block A,261050,Community Health Centre,Government,GEN-00298,23.738735,84.753844
Government Kerala West Hospital 4,"Main Road, Kerala West, Kerala",Kerala,Kerala West,Block A,457079,Primary Health Centre,Government,GEN-00299,17.787786,89.585119
Government Kerala West Hospital 5,"Main Road, Kerala West, Kerala",Kerala,Kerala West,Block A,450965,Medical College Hospital,Government,GEN-00300,28.776475,76.409677
Government Madhya Central Hospital 1,"Main Road, Madhya Central, Madhya Pradesh",Madhya Pradesh,Madhya Central,Block C,571079,District Hospital,Government,GEN-00301,29.845292,71.860685
Government Madhya Central Hospital 2,"Main Road, Madhya Central, Madhya Pradesh",Madhya Pradesh,Madhya Central,Block B,149880,Sub District Hospital,Government,GEN-00302,14.49564,68.901551
Government Madhya Central Hospital 3,"Main Road, Madhya Central, Madhya Pradesh",Madhya Pradesh,Madhya Central,Block B,296796,Community Health Centre,Government,GEN-00303,28.546352,83.711856
Government Madhya Central Hospital 4,"Main Road, Madhya Central, Madhya Pradesh",Madhya Pradesh,Madhya Central,Block A,678836,Primary Health Centre,Government,GEN-00304,11.166316,88.979278
Government Madhya Central Hospital 5,"Main Road, Madhya Central, Madhya Pradesh",Madhya Pradesh,Madhya Central,Block B,478427,Medical College Hospital,Government,GEN-00305,24.378503,82.441778
Government Madhya North Hospital 1,"Main Road, Madhya North, Madhya Pradesh",Madhya Pradesh,Madhya North,Block C,399633,District Hospital,Government,GEN-00306,30.562779,85.139249
Government Madhya North Hospital 2,"Main Road, Madhya North, Madhya Pradesh",Madhya Pradesh,Madhya North,Block A,409475,Sub District Hospital,Government,GEN-00307,34.488382,95.864446
Government Madhya North Hospital 3,"Main Road, Madhya North, Madhya Pradesh",Madhya Pradesh,Madhya North,Block A,698986,Community Health Centre,Government,GEN-00308,16.335788,70.496314
Government Madhya North Hospital 4,"Main Road, Madhya North, Madhya Pradesh",Madhya Pradesh,Madhya North,Block B,782340,Primary Health Centre,Government,GEN-00309,9.881494,78.489392
Government Madhya North Hospital 5,"Main Road, Madhya North, Madhya Pradesh",Madhya Pradesh,Madhya North,Block C,592904,Medical College Hospital,Government,GEN-00310,22.679391,91.916912
Government Madhya South Hospital 1,"Main Road, Madhya South, Madhya Pradesh",Madhya Pradesh,Madhya South,Block A,184406,District Hospital,Government,GEN-00311,21.298942,78.497344
Government Madhya South Hospital 2,"Main Road, Madhya South, Madhya Pradesh",Madhya Pradesh,Madhya South,Block A,614344,Sub District Hospital,Government,GEN-00312,32.811766,77.312356
Government Madhya South Hospital 3,"Main Road, Madhya South, Madhya Pradesh",Madhya Pradesh,Madhya South,Block B,492851,Community Health Centre,Government,GEN-00313,8.286645,95.728366
Government Madhya South Hospital 4,"Main Road, Madhya South, Madhya Pradesh",Madhya Pradesh,Madhya South,Block C,360177,Primary Health Centre,Government,GEN-00314,26.919794,68.989187
Government Madhya South Hospital 5,"Main Road, Madhya South, Madhya Pradesh",Madhya Pradesh,Madhya South,Block A,605068,Medical College Hospital,Government,GEN-00315,24.618143,96.210153
Government Madhya East Hospital 1,"Main Road, Madhya East, Madhya Pradesh",Madhya Pradesh,Madhya East,Block B,467184,District Hospital,Government,GEN-00316,11.138284,88.655793
Government Madhya East Hospital 2,"Main Road, Madhya East, Madhya Pradesh",Madhya Pradesh,Madhya East,Block A,828263,Sub District Hospital,Government,GEN-00317,32.383182,95.745503
Government Madhya East Hospital 3,"Main Road, Madhya East, Madhya Pradesh",Madhya Pradesh,Madhya East,Block B,439847,Community Health Centre,Government,GEN-00318,13.282557,83.40557
Government Madhya East Hospital 4,"Main Road, Madhya East, Madhya Pradesh",Madhya Pradesh,Madhya East,Block A,279150,Primary Health Centre,Government,GEN-00319,20.528394,90.124528
Government Madhya East Hospital 5,"Main Road, Madhya East, Madhya Pradesh",Madhya Pradesh,Madhya East,Block B,528233,Medical College Hospital,Government,GEN-00320,11.322476,90.801392
Government Madhya West Hospital 1,"Main Road, Madhya West, Madhya Pradesh",Madhya Pradesh,Madhya West,Block A,307228,District Hospital,Government,GEN-00321,19.598713,88.364998
Government Madhya West Hospital 2,"Main Road, Madhya West, Madhya Pradesh",Madhya Pradesh,Madhya West,Block A,566456,Sub District Hospital,Government,GEN-00322,23.865953,82.94697
Government Madhya West Hospital 3,"Main Road, Madhya West, Madhya Pradesh",Madhya Pradesh,Madhya West,Block C,293489,Community Health Centre,Government,GEN-00323,28.667819,70.907202
Government Madhya West Hospital 4,"Main Road, Madhya West, Madhya Pradesh",Madhya Pradesh,Madhya West,Block C,794009,Primary Health Centre,Government,GEN-00324,11.808744,73.096433
Government Madhya West Hospital 5,"Main Road, Madhya West, Madhya Pradesh",Madhya Pradesh,Madhya West,Block A,526692,Medical College Hospital,Government,GEN-00325,21.834129,85.437063
Government Maharashtra Central Hospital 1,"Main Road, Maharashtra Central, Maharashtra",Maharashtra,Maharashtra Central,Block B,137381,District Hospital,Government,GEN-00326,30.598412,69.357677
Government Maharashtra Central Hospital 2,"Main Road, Maharashtra Central, Maharashtra",Maharashtra,Maharashtra Central,Block C,531418,Sub District Hospital,Government,GEN-00327,23.373946,72.083743
Government Maharashtra Central Hospital 3,"Main Road, Maharashtra Central, Maharashtra",Maharashtra,Maharashtra Central,Block A,749945,Community Health Centre,Government,GEN-00328,17.819764,69.576053
Government Maharashtra Central Hospital 4,"Main Road, Maharashtra Central, Maharashtra",Maharashtra,Maharashtra Central,Block B,553421,Primary Health Centre,Government,GEN-00329,31.709009,82.946918
Government Maharashtra Central Hospital 5,"Main Road, Maharashtra Central, Maharashtra",Maharashtra,Maharashtra Central,Block A,405148,Medical College Hospital,Government,GEN-00330,31.357943,68.194855
Government Maharashtra North Hospital 1,"Main Road, Maharashtra North, Maharashtra",Maharashtra,Maharashtra North,Block A,173007,District Hospital,Government,GEN-00331,12.777425,93.720666
Government Maharashtra North Hospital 2,"Main Road, Maharashtra North, Maharashtra",Maharashtra,Maharashtra North,Block C,605386,Sub District Hospital,Government,GEN-00332,19.19456,79.736935
